%%MatrixMarket matrix coordinate real general
569 509 7879
1	489	-1833871.9370286081
2	2	-0.0000000001
2	490	-2947503.3176236539
3	3	0.0000000001
3	491	-2296779.6108209426
4	271	44350320.4808726311
4	272	-44350320.4808726311
5	296	67260328.9986627102
5	299	-67260328.9986627102
6	298	67012079.7906030640
6	300	-67012079.7906030640
7	374	5269046.8158085169
7	495	-5269046.8158085169
8	122	0.0000000007
8	375	6698368.2109492617
8	243	-0.0000000003
8	496	-6698368.2109492617
9	376	6342833.7878154535
9	497	-6342833.7878154535
10	124	470931.8855032904
10	125	554473.9223720505
10	126	-319007.9796203491
10	377	1052736.7109794030
10	378	50343.2119894357
10	379	476025.1435003913
10	254	-470931.8855032904
10	255	-554473.9223720505
10	256	319007.9796203491
10	507	-1052736.7109794030
10	508	-50343.2119894357
10	509	-476025.1435003913
11	124	-319007.9796203490
11	125	470931.8855032902
11	126	554473.9223720701
11	377	476025.1435003913
11	378	1052736.7109794025
11	379	50343.2119891965
11	254	319007.9796203490
11	255	-470931.8855032902
11	256	-554473.9223720701
11	507	-476025.1435003913
11	508	-1052736.7109794025
11	509	-50343.2119891965
12	124	554473.9223720502
12	125	-319007.9796205374
12	126	470931.8855032903
12	377	50343.2119894357
12	378	476025.1435002536
12	379	1052736.7109794028
12	254	-554473.9223720502
12	255	319007.9796205374
12	256	-470931.8855032903
12	507	-50343.2119894357
12	508	-476025.1435002536
12	509	-1052736.7109794028
13	30	18387.3360602126
13	31	13046.6670721837
13	32	-6401.2438539800
13	283	42748.1846993713
13	284	522.8423227639
13	285	8181.0050968409
13	65	-18387.3360615000
13	66	-13046.6670753987
13	67	6401.2438559077
13	318	-42748.1846962723
13	319	-522.8423247013
13	320	-8181.0050980025
14	30	-8270.0449911776
14	31	27205.0595150581
14	32	20905.6603506437
14	283	13707.8014616340
14	284	54562.6722255288
14	285	-1644.6655840416
14	65	8270.0449949994
14	66	-27205.0595172485
14	67	-20905.6603566557
14	318	-13707.8014639370
14	319	-54562.6722196029
14	320	1644.6655804187
15	30	14918.3876026415
15	31	-11418.7559808942
15	32	30567.4967988721
15	283	2532.5540719391
15	284	24775.9818102268
15	285	66155.7222361350
15	65	-14918.3876055205
15	66	11418.7559884479
15	67	-30567.4967941973
15	318	-2532.5540736740
15	319	-24775.9818147788
15	320	-66155.7222298481
16	23	7579.6763246903
16	24	6513.2104016682
16	25	-2370.6757996096
16	276	16404.3187784034
16	277	-512.3996474253
16	278	3029.8034635768
16	101	-7579.6763260092
16	102	-6513.2104037994
16	103	2370.6758004218
16	354	-16404.3187766297
16	355	512.3996461410
16	356	-3029.8034640663
17	23	-3707.2968447646
17	24	11097.5901668599
17	25	6326.3783141877
17	276	8043.9514909356
17	277	22257.4104032859
17	278	253.5282239181
17	101	3707.2968475550
17	102	-11097.5901658433
17	103	-6326.3783159615
17	354	-8043.9514926170
17	355	-22257.4104005356
17	356	-253.5282249870
18	23	4418.3035290212
18	24	-3077.3859443977
18	25	8133.3504256227
18	276	750.0537518375
18	277	5100.8423283427
18	278	18908.9906788074
18	101	-4418.3035299914
18	102	3077.3859460157
18	103	-8133.3504249748
18	354	-750.0537524221
18	355	-5100.8423293177
18	356	-18908.9906772478
19	204	62343.8982541205
19	205	33867.2565799486
19	206	-23588.8319372461
19	457	152188.5982697497
19	458	5785.2582661982
